tz,electric_power,EP_1_DAY_AGo,EP_1_Week_AGo,EP_4_Weeks_AGo,EP_Next_hour,electric_power_rolling_avg_one_day,electric_power_rolling_avg_one_week
2017-02-17 18:30,24.39849158,22.16928694,20.70492289,0,18.60933231,20.95762191,0
2017-02-17 19:30,18.60933231,18.93970516,17.52345076,0,18.54847313,20.94199528,0
2017-02-17 20:30,18.54847313,18.34112019,17.73480698,0,17.29448205,20.9407394,0
2017-02-17 21:30,17.29448205,17.54946381,16.82917205,0,17.43654444,20.94633149,0
2017-02-17 22:30,17.43654444,16.96961801,16.71152483,0,17.11981447,20.94384872,0
2017-02-17 23:30,17.11981447,16.69553968,16.3173603,0,17.20278147,20.94131084,0
2017-02-18 0:30,17.20278147,17.80676598,16.84948347,0,17.55186251,20.94602894,0
2017-02-18 1:30,17.55186251,17.15305412,17.04903788,0,17.45617565,20.94833953,0
2017-02-18 2:30,17.45617565,16.7199637,16.84659234,0,16.98244004,20.94938837,0
2017-02-18 3:30,16.98244004,17.30244431,16.10468197,0,16.718132,20.94519607,0
2017-02-18 4:30,16.718132,23.75248675,16.7970397,0,16.91507345,20.94816521,0
2017-02-18 5:30,16.91507345,23.3791607,16.66362129,0,15.3654598,20.94131038,0
2017-02-18 6:30,15.3654598,17.24645061,16.00598513,0,15.65858829,20.93068524,0
2017-02-18 7:30,15.65858829,20.3908803,15.4324425,0,16.40336873,20.91197074,0
2017-02-18 8:30,16.40336873,25.41831545,15.46475746,0,16.46457668,20.86835554,0
2017-02-18 9:30,16.46457668,26.08519535,16.43484517,0,16.15911832,20.81932197,0
2017-02-18 10:30,16.15911832,25.88178422,15.89166806,0,16.13986514,20.77059408,0
2017-02-18 11:30,16.13986514,26.20525844,15.83023942,0,15.78013929,20.7229442,0
2017-02-18 12:30,15.78013929,26.46544695,15.99539716,0,15.43660274,20.68675205,0
2017-02-18 13:30,15.43660274,26.2186868,15.36973408,0,15.64987194,20.65527158,0
2017-02-18 14:30,15.64987194,26.70034851,15.10443922,0,15.76113008,20.63037721,0
2017-02-18 15:30,15.76113008,27.3761656,15.06591722,0,16.44355044,20.60070549,0
2017-02-18 16:30,16.44355044,30.9575482,17.25681695,0,18.61212212,20.58003925,0
2017-02-18 17:30,18.61212212,31.61881492,18.00560927,0,18.35200792,20.59899951,0
2017-02-18 18:30,18.35200792,24.39849158,17.37063184,0,17.63584983,20.62098504,0
2017-02-18 19:30,17.63584983,18.60933231,17.53020967,0,17.48960086,20.62744862,0
2017-02-18 20:30,17.48960086,18.54847313,17.26438043,0,16.68760583,20.63229187,0
2017-02-18 21:30,16.68760583,17.29448205,16.15986722,0,16.51487812,20.63506157,0
2017-02-18 22:30,16.51487812,17.43654444,16.46684943,0,16.40890259,20.63937716,0
2017-02-18 23:30,16.40890259,17.11981447,16.57889552,0,16.49568602,20.64415368,0
2017-02-19 0:30,16.49568602,17.20278147,16.99232789,0,16.5490392,20.64625664,0
2017-02-19 1:30,16.5490392,17.55186251,16.33972405,0,17.49427514,20.64924964,0
2017-02-19 2:30,17.49427514,17.45617565,16.39657838,0,16.6211524,20.65287812,0
2017-02-19 3:30,16.6211524,16.98244004,16.54204202,0,16.92088521,20.65810287,0
2017-02-19 4:30,16.92088521,16.718132,17.29620584,0,17.24313492,20.65763318,0
2017-02-19 5:30,17.24313492,16.91507345,16.62993131,0,15.01734876,20.65912992,0
2017-02-19 6:30,15.01734876,15.3654598,15.27237132,0,15.42425042,20.65531727,0
2017-02-19 7:30,15.42425042,15.65858829,15.5560075,0,16.29053588,20.65666337,0
2017-02-19 8:30,16.29053588,16.40336873,15.63890588,0,15.62190217,20.66225034,0
2017-02-19 9:30,15.62190217,16.46457668,15.32032643,0,15.56139983,20.66242732,0
2017-02-19 10:30,15.56139983,16.15911832,15.51556199,0,15.46382677,20.66401928,0
2017-02-19 11:30,15.46382677,16.13986514,15.34792923,0,15.0517021,20.66586229,0
2017-02-19 12:30,15.0517021,15.78013929,15.59960173,0,14.9939401,20.664581,0
2017-02-19 13:30,14.9939401,15.43660274,15.38686402,0,15.0824849,20.66497902,0
2017-02-19 14:30,15.0824849,15.64987194,15.18730855,0,15.25768448,20.66822565,0
2017-02-19 15:30,15.25768448,15.76113008,14.80109808,0,16.78306089,20.67236382,0
2017-02-19 16:30,16.78306089,16.44355044,17.02668916,0,18.9757825,20.66752295,0
2017-02-19 17:30,18.9757825,18.61212212,18.22924967,0,18.43662715,20.67113314,0
2017-02-19 18:30,18.43662715,18.35200792,17.60368796,0,18.20982356,20.67697467,0
2017-02-19 19:30,18.20982356,17.63584983,17.88978518,0,17.69535338,20.67760348,0
2017-02-19 20:30,17.69535338,17.48960086,18.61774193,0,17.37398299,20.67894408,0
2017-02-19 21:30,17.37398299,16.68760583,16.67346881,0,17.6278302,20.68208538,0
2017-02-19 22:30,17.6278302,16.51487812,16.36144133,0,16.70383535,20.68237126,0
2017-02-19 23:30,16.70383535,16.40890259,16.3945335,0,16.54029844,20.6813594,0
2017-02-20 0:30,16.54029844,16.49568602,17.33805222,0,17.80907864,20.6784032,0
2017-02-20 1:30,17.80907864,16.5490392,17.00954176,0,16.75038541,20.67964912,0
2017-02-20 2:30,16.75038541,17.49427514,16.41722188,0,17.44632722,20.68618303,0
2017-02-20 3:30,17.44632722,16.6211524,16.44470124,0,17.16766627,20.68665393,0
2017-02-20 4:30,17.16766627,16.92088521,16.19104653,0,17.19386607,20.68441987,0
2017-02-20 5:30,17.19386607,17.24313492,16.76597175,0,17.43335738,20.6880699,0
