Datetime,Temperature,Pressure,Humidity,Wind,Wind_Speed,Forcast,City
12.03.2017 08:00,14.5,754.8,51,Wind blowing from the west-southwest,8,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station. ",Falconara 
12.03.2017 11:00,18.4,756,44,Wind blowing from the west-southwest,10,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station. ",Falconara 
12.03.2017 14:00,20.8,756.5,38,Wind blowing from the west,9,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station. ",Falconara 
12.03.2017 17:00,18.4,758.2,57,Wind blowing from the west,7, ,Falconara 
12.03.2017 20:00,16.8,760,64,Wind blowing from the west-northwest,6, ,Falconara 
12.03.2017 23:00,16.5,761.4,64,Wind blowing from the west-northwest,5, ,Falconara 
13.03.2017 02:00,15.9,761.8,66,Wind blowing from the west-northwest,6, ,Falconara 
13.03.2017 05:00,15.6,762.3,68,Wind blowing from the west-northwest,3, ,Falconara 
13.03.2017 08:00,17.1,764,58,Wind blowing from the west,4, ,Falconara 
13.03.2017 11:00,19.6,764.5,53,Wind blowing from the west,3, ,Falconara 
13.03.2017 14:00,19.7,762,48,Wind blowing from the west,7, ,Falconara 
13.03.2017 17:00,18.3,764.5,61,Wind blowing from the west-northwest,6, ,Falconara 
13.03.2017 20:00,16.3,765.3,63,Wind blowing from the north-west,4, ,Falconara 
13.03.2017 23:00,15.8,765.6,64,Wind blowing from the north-west,3, ,Falconara 
14.03.2017 11:00,18.5,765.7,51,Wind blowing from the north,2, ,Falconara 
14.03.2017 14:00,18.3,764.8,51,Wind blowing from the west,5, ,Falconara 
14.03.2017 17:00,17.6,764.1,54,Wind blowing from the north-northwest,4, ,Falconara 
14.03.2017 20:00,15.8,764.8,58,Wind blowing from the north-west,3, ,Falconara 
14.03.2017 23:00,15.6,764.7,60,Wind blowing from the west-northwest,4, ,Falconara 
